,Cities,Latitude,Longitude,Temperature (°F),Humidity,Cloudiness,Wind Speed (mph)
61,tobane,-21.95,27.9,72.48,20,0,5.79
62,henties bay,-22.116,14.2845,66.0,82,2,7.0
63,orapa,-21.2833,25.3667,72.0,19,0,1.3
64,okahandja,-21.9833,16.9167,75.2,23,0,6.91
65,inhambane,-23.865,35.3833,73.13,82,0,7.25
66,itaocara,-21.6692,-42.0761,87.19,55,46,1.12
67,maxixe,-23.8597,35.3472,72.12,84,0,6.44
68,aguai,-22.0594,-46.9786,80.74,39,40,4.61
69,saint-pierre,-21.3393,55.4781,74.08,73,90,14.97
70,villazon,-22.0866,-65.5942,55.0,23,0,5.21
71,bela vista,-22.1089,-56.5211,81.43,32,0,6.42
72,ghanzi,-21.5667,21.7833,71.6,26,0,4.99
73,georgetown,5.4112,100.3354,82.2,89,40,4.61
74,rancharia,-22.2292,-50.8931,82.4,39,40,8.05
75,chute-aux-outardes,49.1168,-68.399,41.0,87,90,10.36
76,svetlyy,54.675,20.1347,38.07,75,40,15.66
77,bonavista,48.6499,-53.1147,49.24,41,100,12.66
78,lagoa,39.05,-27.9833,61.0,73,80,6.38
79,ust-koksa,50.2696,85.6108,33.24,77,93,2.17
80,saint-ambroise,48.5501,-71.3324,32.92,100,100,17.27
81,savinka,50.0785,47.0994,49.62,49,99,7.38
82,dingle,10.9995,122.6711,76.5,84,42,6.76
83,thunder bay,48.4001,-89.3168,35.73,69,90,16.11
84,pszczyna,49.9804,18.9538,42.94,1,93,6.15
85,havre-saint-pierre,50.2334,-63.5986,41.0,93,90,26.46
86,aleksandrov gay,50.147,48.5704,49.75,52,100,8.14
87,cochrane,51.1834,-114.4687,42.21,75,1,3.47
88,astana,51.1801,71.446,59.0,55,20,15.66
89,khromtau,50.2503,58.4347,47.93,95,100,15.19
90,fastiv,50.0767,29.9177,44.42,42,0,8.95
91,hearst,49.6835,-83.6665,44.6,26,54,8.05
92,aktash,50.3,87.7333,17.44,80,77,3.58
93,skibbereen,51.55,-9.2667,57.2,54,20,8.05
94,tourlaville,49.6383,-1.5664,49.46,66,0,16.11
95,penzance,50.1186,-5.5371,51.8,62,20,16.11
96,chapais,49.7834,-74.8492,26.6,86,90,13.8
97,derzhavinsk,51.1,66.3167,52.72,82,100,9.82
98,deer lake,49.1667,-57.4316,51.4,58,90,18.41
99,wieliczka,49.9874,20.0647,45.48,27,0,8.05
100,normandin,48.8333,-72.5321,30.2,86,100,14.97
101,chudniv,50.052,28.1175,39.81,64,85,8.86
102,werneck,49.9833,10.1,55.71,26,0,4.0
103,brody,50.0879,25.1503,39.06,70,94,5.3
104,vikyrovice,49.9779,17.0123,36.7,59,53,5.53
105,atbasar,51.8,68.3333,48.09,90,100,4.25
106,staryy saltiv,50.0827,36.7939,43.99,87,75,15.66
107,nanortalik,60.1432,-45.2371,34.43,99,100,3.87
108,matagami,49.7502,-77.6328,32.0,47,1,16.11
109,okhtyrka,50.3104,34.8988,35.49,89,87,6.44
110,saint-augustin,51.226,-58.6502,41.99,77,100,14.18
111,kinsale,51.7075,-8.5306,56.61,54,20,8.05
112,sol-iletsk,51.1631,54.9918,46.31,64,100,11.52
113,kapuskasing,49.4169,-82.4331,41.9,38,33,6.91
114,dieppe,49.75,1.1667,57.06,33,0,13.8
115,sept-iles,50.2001,-66.3821,43.48,93,90,9.22
116,fourmies,50.0153,4.0478,55.0,40,20,8.01
117,springdale,36.1867,-94.1288,73.17,56,1,17.27
118,tarnow,50.0138,20.987,41.0,21,53,4.0
119,dombarovskiy,50.7587,59.5386,49.46,93,100,11.79
120,zhovkva,50.0583,23.9726,44.6,39,0,8.95
121,ushuaia,-54.8,-68.3,42.8,87,90,5.75
122,port alfred,-33.5906,26.891,70.54,79,100,7.02
123,albany,42.6001,-73.9662,47.5,32,5,3.0
124,bredasdorp,-34.5322,20.0403,60.8,82,0,3.44
125,kruisfontein,-34.0033,24.7314,61.0,87,100,3.0
126,hermanus,-34.4187,19.2345,64.0,76,9,13.29
127,busselton,-33.65,115.3333,57.38,90,100,1.01
128,port elizabeth,-33.918,25.5701,59.0,94,75,18.41
129,cape town,-33.9258,18.4232,64.83,77,20,10.36
130,punta arenas,-53.15,-70.9167,46.2,93,90,2.3
131,east london,-33.0153,27.9116,71.6,78,0,11.5
132,khash,28.2211,61.2158,77.72,19,99,1.54
133,kazerun,29.6195,51.6541,76.57,22,0,2.66
134,cockburn town,21.4612,-71.1419,78.67,74,38,10.16
135,doha,25.2867,51.5333,83.25,74,97,9.22
136,tias,28.9611,-13.645,75.2,43,20,18.41
137,estelle,29.8458,-90.1067,76.39,60,75,11.5
138,bayan,46.0833,127.4,55.35,29,100,10.04
139,merritt island,28.5392,-80.672,80.15,65,75,6.91
140,rojhan,28.6868,69.9534,93.99,8,5,9.26
141,bam,29.106,58.357,82.35,17,83,2.51
142,las palmas,28.4204,-14.0131,75.2,53,40,14.97
143,spring hill,28.4769,-82.5255,82.65,50,20,8.05
144,mangan,27.5167,88.5333,70.38,48,46,5.93
145,tiznit,29.5833,-9.5,66.61,58,50,14.2
146,marsh harbour,26.5412,-77.0636,75.58,72,9,15.79
147,nushki,29.5542,66.0215,81.63,12,2,2.33
148,awjilah,29.1081,21.2869,77.31,22,2,8.05
149,sonipat,28.9833,77.0167,90.55,19,0,5.12
150,waddan,29.1614,16.139,84.24,12,4,11.16
151,dera bugti,29.0307,69.151,90.52,12,0,3.83
152,tabuk,17.4189,121.4443,72.48,87,100,3.51
153,high rock,26.6208,-78.2833,80.6,65,20,12.66
154,elat,29.5581,34.9482,84.2,24,0,18.41
155,darab,28.7519,54.5444,73.94,33,85,3.27
156,lady lake,28.9175,-81.9229,80.37,54,20,9.22
157,kalat,29.0225,66.5916,66.92,18,3,0.69
158,kharan,28.5833,65.4167,87.75,10,3,3.53
159,jalu,29.0331,21.5482,77.13,22,2,7.2
160,copacabana,6.3463,-75.5089,71.62,64,75,5.75
161,grand gaube,-20.0064,57.6608,75.0,90,100,7.0
162,goias,-15.5807,-49.6362,85.14,46,34,3.44
163,belmonte,-15.8631,-38.8828,86.0,58,40,14.97
164,antalaha,-14.9003,50.2788,75.7,89,64,9.13
165,santa lucia,27.9117,-15.5407,71.8,56,75,11.5
166,marovoay,-16.1,46.6333,80.6,89,20,4.61
167,maceio,-9.6658,-35.7353,86.0,58,40,6.91
168,huarmey,-10.0681,-78.1522,72.99,73,29,11.18
169,menongue,-14.6585,17.691,69.57,46,42,2.73
170,san javier,37.8063,-0.8374,67.05,77,20,12.66
171,mananara,-16.1667,49.7667,73.76,94,84,4.59
172,quatre cocos,-20.2078,57.7625,76.8,78,75,13.8
173,cap malheureux,-19.9842,57.6142,75.0,90,100,7.0
174,san ignacio,17.1561,-89.0714,86.0,62,40,6.78
175,luangwa,-15.6167,30.4167,75.54,53,36,1.83
176,lima,-12.0432,-77.0282,66.09,88,90,4.61
177,pocone,-16.2567,-56.6228,86.41,45,78,3.98
178,rundu,-17.9333,19.7667,75.87,26,37,4.47
179,corrales,35.2378,-106.6067,69.13,13,20,1.01
180,mazabuka,-15.856,27.748,70.83,47,20,7.36
181,namibe,-15.1961,12.1522,77.5,72,13,14.92
182,kaoma,-14.7833,24.8,67.84,62,65,4.7
183,acari,-15.4311,-74.6158,81.03,52,15,8.57
184,cuamba,-14.8031,36.5372,70.02,91,65,2.98
185,taiobeiras,-15.8078,-42.2331,88.36,33,99,4.21
186,thyolo,-16.0678,35.1405,67.01,81,39,4.83
187,san rafael,-34.6177,-68.3301,71.37,42,0,9.62
188,unai,-16.3575,-46.9061,88.84,39,51,1.97
189,chimore,-16.9833,-65.1333,82.09,52,11,3.15
190,santo antonio do leverger,-15.8656,-56.0767,77.0,78,75,4.61
191,kalabo,-14.97,22.6814,73.85,51,88,4.63
192,itapirapua,-15.8233,-50.6133,88.84,35,52,3.29
193,senanga,-16.1167,23.2667,75.58,39,93,4.74
194,vardo,70.3705,31.1107,32.0,93,75,19.57
195,brewster,41.3973,-73.6171,51.67,30,1,14.97
196,kuryk,43.2,51.65,58.73,64,51,7.09
197,korla,41.7597,86.1469,57.02,30,23,7.63
198,bridgewater,44.3835,-64.5155,50.5,81,94,19.57
199,kumukh,42.1704,47.1161,56.35,66,93,9.53
200,muros,42.7762,-9.0603,64.15,75,27,5.01
201,clinton,42.587,-82.9199,43.59,65,75,6.91
202,ulcinj,41.9294,19.2244,62.38,27,75,9.22
203,halifax,44.6453,-63.5724,52.83,76,90,17.27
204,xudat,41.631,48.681,52.39,89,81,0.87
205,erie,42.7667,-78.6664,44.71,50,6,3.0
206,lenger,42.183,69.8839,68.0,34,0,8.95
207,akdepe,42.0551,59.3788,74.28,27,0,11.5
208,port hawkesbury,45.6169,-61.3485,50.11,100,90,8.05
209,colchester,51.8892,0.9042,47.35,56,100,3.0
210,urumqi,43.801,87.6005,55.4,44,0,4.47
211,vila praia de ancora,41.811,-8.8526,65.48,63,20,8.05
212,ejea de los caballeros,42.1263,-1.1372,59.56,77,90,4.61
213,braganca,-1.0536,-46.7656,86.67,62,100,5.66
214,endicott,42.0984,-76.0494,43.79,48,29,14.5
215,nurota,40.5614,65.6886,73.4,23,0,6.91
216,fushe-arrez,42.0622,20.0167,55.11,80,82,4.43
217,torrington,41.8007,-73.1212,46.85,48,14,7.0
218,ahtopol,42.1,27.95,55.4,67,0,10.36
219,kyzyl-suu,42.3414,78.0056,48.04,45,59,8.25
220,porto-vecchio,41.591,9.2795,59.0,94,75,17.27
221,asenovgrad,42.0167,24.8667,68.0,34,30,9.22
222,vieste,41.8825,16.175,64.4,63,20,11.5
223,arys,42.4252,68.795,68.0,34,0,8.95
224,oneonta,42.4529,-75.0638,42.67,46,40,1.99
225,terme,41.2092,36.9739,51.8,71,75,13.8
226,olean,42.0776,-78.4297,45.1,45,1,8.05
227,sinop,41.7711,34.8709,51.8,76,40,8.05
228,real,14.6625,121.6047,80.92,52,99,8.21
229,zhanaozen,43.3,52.8,68.22,39,39,7.76
230,blenheim,-41.516,173.9528,46.92,86,99,7.38
231,balaguer,41.7912,0.8109,57.38,82,75,3.44
232,yarmouth,41.7057,-70.2286,51.76,40,1,12.66
233,chardara,41.2547,67.9692,67.15,48,0,9.91
234,palafrugell,41.9174,3.1631,55.06,22,100,8.32
235,tetovo,42.0106,20.9714,66.56,37,0,8.05
236,vila franca do campo,37.7167,-25.4333,62.6,82,40,11.5
237,mangit,40.5971,70.9607,69.8,35,0,6.91
238,velingrad,42.0272,23.9957,68.0,32,75,11.5
239,millinocket,45.6573,-68.7098,35.6,80,90,16.11
240,balykshi,47.0667,51.8667,57.2,72,40,15.66
241,baijiantan,45.6333,85.1833,56.35,23,63,4.65
242,beauceville,46.2179,-70.7787,33.8,75,100,4.61
243,zenzeli,45.9241,47.0474,56.08,52,100,15.19
244,merrill,45.1805,-89.6835,37.67,87,90,11.5
245,gara,46.0319,19.0428,54.03,50,90,5.75
246,antigonish,45.6169,-61.9986,48.96,82,100,3.44
247,marfino,55.7028,37.3822,43.9,42,0,4.47
248,sturgeon falls,46.3646,-79.9326,40.32,35,1,4.61
249,shubarshi,48.5872,57.1869,63.63,33,85,17.27
250,inverness,57.4791,-4.224,49.03,76,75,9.22
251,kulevcha,46.0303,29.9361,48.45,60,59,6.2
252,blind river,46.1834,-82.9582,37.29,52,1,14.97
253,altay,47.8667,88.1167,36.48,36,28,8.59
254,naron,43.5167,-8.1528,58.44,94,40,8.05
255,rochefort,45.9167,-1.0,65.5,34,0,16.11
256,cervo,43.6702,-7.4101,55.0,89,94,2.37
257,maniwaki,46.3834,-75.966,41.0,33,7,12.66
258,kanjiza,46.0667,20.05,50.27,56,100,5.73
259,sorel,46.0418,-73.1136,37.99,56,99,17.27
260,suceveni,46.0122,28.0181,49.87,54,90,2.06
261,ushtobe,45.2514,77.9838,57.7,36,82,9.04
262,sondrio,46.169,9.8692,45.25,81,20,11.5
263,jibert,46.0,25.0667,45.0,61,95,5.68
264,bjelovar,45.8986,16.8489,45.64,76,20,6.91
265,zhezkazgan,47.8043,67.7144,60.64,38,81,9.01
266,saint-andre-avellin,45.7168,-75.066,43.11,39,20,17.27
267,akhtanizovskaya,45.32,37.1,46.2,81,0,4.47
268,deep river,46.1001,-77.4995,42.8,24,1,16.11
269,partyzany,46.3314,34.7503,49.01,76,39,13.62
270,beyneu,45.3167,55.2,81.39,19,14,7.36
271,little current,45.9793,-81.9248,38.41,51,100,9.22
272,saint-junien,45.8833,0.9,57.99,58,0,6.91
273,oromocto,45.8351,-66.4792,46.02,87,90,10.36
274,shieli,44.1667,66.75,67.48,18,5,9.35
275,riorges,46.0418,4.0497,61.54,51,0,6.91
276,varias,46.0167,20.95,51.93,35,20,5.75
277,rabo de peixe,37.8,-25.5833,62.6,82,40,11.5
278,cenade,46.0587,24.0089,55.0,21,20,3.44
279,la romana,18.4273,-68.9728,86.0,66,40,11.5
280,sur,22.5667,59.5289,88.48,41,1,8.32
281,bathsheba,13.2167,-59.5167,84.2,54,20,20.71
282,salalah,17.0151,54.0924,84.2,70,40,6.91
283,palasa,18.7667,84.4167,78.94,84,37,8.99
284,barahona,18.2085,-71.1008,87.8,66,40,11.5
285,najran,17.4924,44.1277,75.2,60,75,11.5
286,ndioum,16.5129,-14.6471,104.0,15,0,2.3
287,escarcega,18.6089,-90.7454,96.24,29,4,4.65
288,faya,18.3851,42.4509,59.9,82,40,5.75
289,codrington,-38.2667,141.9667,55.85,75,92,5.86
290,bodden town,19.2833,-81.25,85.64,66,20,10.36
291,diu,20.7141,70.9822,83.23,63,0,12.15
292,nouakchott,18.0858,-15.9785,78.8,50,12,20.71
293,marawi,7.9986,124.2928,75.99,88,96,5.99
294,george town,5.4112,100.3354,82.62,89,40,4.61
295,nioro,13.35,-15.75,102.87,11,14,6.6
296,gao,16.6362,1.637,105.93,8,30,9.53
297,nara,34.6851,135.8049,45.59,51,30,1.9
298,morant bay,17.8815,-76.4093,83.5,70,75,3.44
299,chitrakonda,18.1167,82.0833,80.53,60,91,4.83
300,porbandar,21.6422,69.6093,82.6,73,0,12.37
301,saint-francois,46.4154,3.9054,62.78,51,0,6.91
302,petit goave,18.4314,-72.8669,89.6,45,40,2.3
303,basavakalyan,17.8667,76.95,80.1,44,95,11.56
304,agadez,19.75,10.25,98.91,7,1,6.58
305,kutum,14.2,24.6667,84.18,6,45,12.64
306,veraval,20.9,70.3667,81.84,77,0,12.1
307,jeremie,18.65,-74.1167,83.21,64,8,5.73
308,cayenne,4.9333,-52.3333,77.76,94,90,4.61
309,black river,18.0264,-77.8487,82.26,78,40,11.5
310,kidal,18.4411,1.4078,104.77,4,86,7.27
311,patillas,18.0064,-66.0157,83.62,71,40,8.99
312,mangrol,21.1167,70.1167,81.75,77,0,11.97
313,dwarka,22.2394,68.9678,81.91,76,0,13.51
314,santa maria,-29.6842,-53.8069,68.0,60,75,2.3
315,neuquen,-38.9516,-68.0591,64.4,59,0,6.91
316,saint-philippe,-21.3585,55.7679,72.25,73,100,11.5
317,rocha,-34.4833,-54.3333,65.84,55,33,13.31
318,laguna,38.421,-121.4238,54.36,71,1,3.44
319,san carlos de bariloche,-41.1456,-71.3082,59.95,50,0,4.61
320,arraial do cabo,-22.9661,-42.0278,79.57,78,20,8.05
321,ancud,-41.8697,-73.8203,53.89,82,75,11.5
322,punta alta,-38.8759,-62.0736,67.14,47,0,7.29
323,mahebourg,-20.4081,57.7,78.8,78,75,13.8
324,saldanha,-33.0117,17.9442,62.6,88,12,14.97
325,valdivia,-39.8142,-73.2459,53.6,94,90,4.61
326,mar del plata,-38.0023,-57.5575,62.02,59,40,3.44
327,la union,-5.4,-80.75,84.47,45,23,7.92
328,cidreira,-30.1811,-50.2056,69.85,54,61,14.38
329,tres arroyos,-38.3739,-60.2798,65.68,50,0,6.31
330,chuy,-33.6971,-53.4616,67.06,55,39,12.84
331,general roca,-39.0333,-67.5833,64.4,59,0,6.91
332,plettenberg bay,-34.0527,23.3716,64.96,77,100,1.72
333,nantucket,41.2835,-70.0995,51.93,47,1,18.41
334,murgab,37.4966,61.9714,80.6,26,2,8.32
335,mincivan,39.0294,46.7185,68.74,63,91,3.06
336,colares,38.7992,-9.4469,64.56,88,40,6.91
337,bethalto,38.9092,-90.0407,71.89,57,2,8.99
338,liverpool,53.4106,-2.9779,57.78,44,0,3.44
339,masalli,34.7959,126.6553,55.4,67,76,2.3
340,clarksburg,39.2807,-80.3445,56.46,47,1,0.78
341,baherden,38.4362,57.4316,84.99,16,2,7.76
342,kutahya,39.4242,29.9833,48.2,66,40,12.66
343,portsmouth,50.799,-1.0913,56.32,38,0,6.91
344,castanheira do ribatejo,38.993,-8.9735,63.07,82,75,3.44
345,almansa,38.8692,-1.0971,66.0,63,76,7.14
346,campo maior,-4.8278,-42.1686,89.85,52,59,3.04
347,easton,40.6884,-75.2207,52.65,38,13,3.0
348,aksu,41.1231,80.2644,64.49,18,16,3.49
349,koson,39.0375,65.585,71.6,37,0,4.61
350,kavos,38.8268,22.8322,63.88,70,6,3.11
351,brigantine,39.4101,-74.3646,56.08,35,1,17.27
352,akhisar,38.9185,27.8401,55.38,66,7,8.05
353,shache,38.4167,77.2406,66.92,13,0,7.61
354,sinnai,39.3042,9.2036,66.4,72,40,12.66
355,cutro,39.0353,16.9819,59.11,72,0,14.97
356,millville,39.4021,-75.0393,56.3,37,1,12.66
357,sivas,39.7916,37.0019,37.4,87,75,23.02
358,front royal,38.9182,-78.1944,61.72,31,1,6.91
359,nevsehir,38.9167,34.6667,55.4,76,75,9.22
360,ponte de sor,39.2496,-8.0101,61.66,77,93,3.0
361,gumdag,39.2061,54.5906,85.17,25,1,6.6
362,athens,37.9795,23.7162,65.14,49,20,9.22
363,kitob,39.0843,66.8332,73.4,27,0,11.5
364,muborak,39.2553,65.1528,75.96,22,0,13.82
365,mahon,39.8885,4.2658,62.6,82,20,17.27
366,neokhorion,41.1833,23.25,58.64,80,38,1.01
367,kaka,37.3482,59.6143,78.49,14,8,8.63
368,patitirion,39.15,23.8667,55.0,75,2,3.0
369,camacha,33.0833,-16.3333,66.2,72,40,18.41
370,san juan,-31.5375,-68.5364,73.98,36,0,3.49
371,tramandai,-29.9847,-50.1336,69.91,54,40,12.06
372,la serena,-29.9078,-71.2542,59.0,77,90,3.44
373,ambovombe,-25.1667,46.0833,74.53,80,2,11.1
374,sao joao da barra,-21.6403,-41.0511,86.0,62,40,4.61
375,lebu,-37.6167,-73.65,60.37,65,0,12.71
376,springbok,-29.6643,17.8865,55.92,83,30,15.5
377,rafaela,-31.2503,-61.4867,71.2,37,0,1.99
378,coquimbo,-29.9533,-71.3436,59.0,77,90,3.44
379,richmond,37.5538,-77.4603,65.21,32,1,6.91
380,carnarvon,-24.8667,113.6333,64.4,88,1,3.44
381,uruguaiana,-29.7547,-57.0883,68.0,64,75,6.91
382,calvinia,-31.4707,19.776,59.45,74,33,13.15
383,quthing,-30.4,27.7003,58.08,36,93,1.5
384,luderitz,-26.6481,15.1594,63.43,86,39,8.23
385,colesberg,-30.72,25.0972,69.93,20,100,7.34
386,richards bay,-28.783,32.0377,68.09,87,2,3.51
387,imbituba,-28.24,-48.6703,75.2,60,0,8.05
388,reconquista,-29.15,-59.65,69.94,44,0,5.79
389,saint-joseph,-21.3667,55.6167,72.28,73,100,11.5
390,la rioja,42.25,-2.5,60.39,67,40,4.61
391,alegrete,-29.7831,-55.7919,71.35,42,2,7.7
392,gravatai,-29.9444,-50.9919,69.8,56,75,9.22
393,de aar,-30.6497,24.0123,70.25,23,100,8.77
394,hermon,44.8101,-68.9134,45.99,49,90,24.16
395,shetpe,44.1667,52.1167,66.6,41,9,4.25
396,kuytun,54.3419,101.5036,32.36,96,98,8.81
397,berlin,52.5244,13.4105,49.21,31,0,5.75
398,kaspiyskiy,45.3929,47.3707,59.5,64,100,6.69
399,brcko,44.8728,18.8083,57.76,47,40,4.61
400,kirovskiy,45.0917,133.5136,40.12,47,26,6.08
401,midland,31.9974,-102.0779,81.93,26,1,12.66
402,sulina,45.1559,29.6536,51.1,75,82,6.8
403,alpena,45.0617,-83.4327,36.59,56,90,16.11
404,changji,44.0167,87.3167,55.4,44,0,4.47
405,ferrol,43.4832,-8.2369,57.67,88,100,11.99
406,saint-medard-en-jalles,44.8969,-0.7214,56.37,82,100,4.25
407,smiths falls,44.9001,-76.0161,44.62,42,4,1.01
408,yining,29.0361,114.5636,60.28,98,100,1.79
409,indija,20.0,77.0,90.41,25,100,12.19
410,bedford,52.1346,-0.4663,53.56,43,0,10.36
411,peceneaga,45.0167,28.1333,57.11,51,40,8.05
412,cremona,45.2333,9.9333,54.36,81,100,1.01
413,titesti,45.0167,25.0,51.82,65,97,4.56
414,lamovita,44.9256,16.9072,59.0,44,0,6.91
415,massena,44.9281,-74.8919,42.08,36,75,16.11
416,vyshestebliyevskaya,45.1961,37.0181,46.2,81,0,4.47
417,staryy krym,45.0333,35.1,46.92,61,38,7.61
418,southampton,50.904,-1.4043,57.47,38,0,6.91
419,sarlat-la-caneda,44.889,1.2166,62.28,77,0,2.3
420,saint john,45.2727,-66.0677,46.9,100,90,13.8
421,firminy,45.3873,4.2907,60.8,63,0,4.61
422,banatski karlovac,45.0472,21.0161,56.48,35,0,8.05
423,copaceni,45.0,23.9833,53.71,56,100,5.06
424,clyde river,70.4692,-68.5914,24.8,100,90,5.48
425,ilulissat,69.2167,-51.1,51.8,37,75,13.8
426,tasiilaq,65.6145,-37.6368,39.2,75,75,10.2
427,husavik,66.0449,-17.3389,39.2,65,0,10.36
428,thompson,55.7435,-97.8558,33.8,93,75,6.91
429,tromso,69.6496,18.957,33.39,75,75,13.8
430,yar-sale,66.8333,70.8333,34.02,92,100,13.73
431,berlevag,70.8578,29.0864,34.27,60,40,14.97
432,talnakh,69.4865,88.3972,9.5,89,100,8.34
433,hofn,64.2539,-15.2082,44.6,65,20,11.5
434,klaksvik,62.2266,-6.589,44.6,87,75,12.66
435,skjervoy,70.0311,20.9714,35.6,75,75,1.14
436,mehamn,71.0357,27.8492,35.6,60,20,13.8
437,sorland,67.667,12.6934,37.4,81,40,14.97
438,havoysund,70.9963,24.6622,32.92,69,75,13.8
439,andenes,69.3143,16.1194,33.8,86,75,19.57
440,roald,62.5833,6.1333,44.01,49,0,10.36
441,sovetskiy,61.3614,63.5842,40.37,63,76,8.59
442,jutai,-5.1833,-68.9,80.71,84,95,5.59
443,victoria,22.2855,114.1577,73.58,89,100,13.53
444,itupiranga,-5.1347,-49.3267,88.25,59,63,2.01
445,nisia floresta,-6.0911,-35.2086,87.8,62,75,16.11
446,hambantota,6.1241,81.1185,81.01,82,47,7.58
447,ipixuna,-1.7625,-48.8043,89.6,62,75,6.91
448,mitsamiouli,-11.3847,43.2844,81.61,74,65,10.27
449,cabedelo,-6.9811,-34.8339,86.0,70,40,12.66
450,san cristobal,7.7669,-72.225,87.8,55,40,8.05
451,kikwit,-5.041,18.8162,78.39,76,96,2.1
452,manicore,-5.8092,-61.3003,82.4,83,90,9.22
453,olmos,-5.9847,-79.7453,82.99,63,15,1.99
454,sao tome,0.3365,6.7273,83.44,74,44,4.83
455,kalemie,-5.9475,29.1947,72.61,83,58,4.92
456,paita,-5.0892,-81.1144,78.8,61,40,9.22
457,meulaboh,4.1363,96.1285,78.01,87,100,4.18
458,takoradi,4.8845,-1.7554,84.16,73,77,10.98
459,yurimaguas,-5.9,-76.0833,78.8,89,75,4.59
460,jacareacanga,-6.2222,-57.7528,80.04,88,100,2.01
461,tshikapa,-6.4167,20.8,73.89,91,34,2.8
462,requena,39.4883,-1.1004,60.98,90,76,1.99
463,kabalo,-6.05,26.9167,73.96,89,91,1.99
464,loandjili,-4.7561,11.8578,86.0,79,20,9.22
465,kabinda,-6.1333,24.4833,76.12,65,98,1.43
466,kasongo-lunda,-6.4667,16.8167,76.66,82,97,1.81
467,lagunas,-5.2269,-75.6753,76.57,92,100,2.37
468,gairo,39.8497,9.5047,62.6,94,90,3.44
469,elesbao veloso,-6.2019,-42.1403,92.61,42,41,0.74
